,level_0,index,grid_index,OPCINA,Mjesna_zaj,WKT,area,Gross_floor_A_heated_m2,total_heat_demand_kWh_realni_2021_schedule,CO2_emissions_realni_2021_schedule,PM2.5_emissions_realni_2021_schedule,NOx_emissions_realni_2021_schedule,SO2_emissions_realni_2021_schedule,total_heat_demand_MWh_realni_2021_schedule,total_heat_demand_kWh/m2_realni_2021_schedule
10,10,10,9213,TRNOVO,Šabići,"POLYGON ((2031791.7263781778 5406995.850859159, 2031791.7263781778 5407195.850859159, 2031991.7263781778 5407195.850859159, 2031991.7263781778 5406995.850859159, 2031791.7263781778 5406995.850859159))",40000.0,188.3454714735478,20311.60929023917,0.008363603825392599,3.225931605494911e-07,1.0753115308320924e-05,1.5054367405652028e-05,20.31160929023917,107.84230239956597
11,11,11,9214,TRNOVO,Šabići,"POLYGON ((2031991.7263781778 5406995.850859159, 2031991.7263781778 5407195.850859159, 2032191.7263781778 5407195.850859159, 2032191.7263781778 5406995.850859159, 2031991.7263781778 5406995.850859159))",40000.0,153.12970736224185,27316.086596241752,0.011247800363158368,4.3383971122169307e-07,1.4461337097628295e-05,2.0245879970822735e-05,27.316086596241753,178.38528569523834
12,12,12,11303,TRNOVO,Šabići,"POLYGON ((2030991.7263781778 5408195.850859159, 2030991.7263781778 5408395.850859159, 2031191.7263781778 5408395.850859159, 2031191.7263781778 5408195.850859159, 2030991.7263781778 5408195.850859159))",40000.0,26.006122997444105,6365.708840346035,0.0004405334837609713,1.4907529741095814e-05,2.537455245123844e-06,3.488998759377867e-07,6.365708840346035,244.77731036539586
13,13,13,11304,TRNOVO,Šabići,"POLYGON ((2031191.7263781778 5408195.850859159, 2031191.7263781778 5408395.850859159, 2031391.7263781778 5408395.850859159, 2031391.7263781778 5408195.850859159, 2031191.7263781778 5408195.850859159))",40000.0,17.632490616977947,5508.146873730157,0.00038118663486021853,1.2899248991412034e-05,2.195619769329464e-06,3.018975276894839e-07,5.508146873730157,312.3862075631267
14,14,14,11653,TRNOVO,Šabići,"POLYGON ((2031191.7263781778 5408395.850859159, 2031191.7263781778 5408595.850859159, 2031391.7263781778 5408595.850859159, 2031391.7263781778 5408395.850859159, 2031191.7263781778 5408395.850859159))",40000.0,114.23673209586957,30960.26829769716,0.005779120415880733,6.509672358040833e-05,1.6008640144668505e-05,3.716793019350577e-05,30.96026829769716,271.018504553463
15,15,15,11654,TRNOVO,Šabići,"POLYGON ((2031391.7263781778 5408395.850859159, 2031391.7263781778 5408595.850859159, 2031591.7263781778 5408595.850859159, 2031591.7263781778 5408395.850859159, 2031391.7263781778 5408395.850859159))",40000.0,43.92952905431148,15808.355400075532,0.001094003833915262,3.7020783418618966e-05,6.301418323198551e-06,8.664444724378839e-07,15.808355400075532,359.8571562315443
16,16,16,12003,TRNOVO,Šabići,"POLYGON ((2031391.7263781778 5408595.850859159, 2031391.7263781778 5408795.850859159, 2031591.7263781778 5408795.850859159, 2031591.7263781778 5408595.850859159, 2031391.7263781778 5408595.850859159))",40000.0,515.1181975227847,119102.47675688122,0.015855587077670454,0.0002141632256616115,4.86313178105238e-05,9.308995077865248e-05,119.10247675688122,231.21387931866468
17,17,17,12343,TRNOVO,Šabići,"POLYGON ((2029591.7263781778 5408795.850859159, 2029591.7263781778 5408995.850859159, 2029791.7263781778 5408995.850859159, 2029791.7263781778 5408795.850859159, 2029591.7263781778 5408795.850859159))",40000.0,408.1162532849008,31596.727214576265,0.013010417088354933,5.018257268304444e-07,1.6727539716273248e-05,2.341856489593762e-05,31.596727214576266,77.4208989724283
18,18,18,12352,TRNOVO,Šabići,"POLYGON ((2031391.7263781778 5408795.850859159, 2031391.7263781778 5408995.850859159, 2031591.7263781778 5408995.850859159, 2031591.7263781778 5408795.850859159, 2031391.7263781778 5408795.850859159))",40000.0,208.86291403473663,45779.283109360316,0.007444110693201449,6.659772582051068e-05,1.8335753085192686e-05,5.218616794270102e-05,45.77928310936032,219.18339749749265
19,19,19,12700,TRNOVO,Šabići,"POLYGON ((2031191.7263781778 5408995.850859159, 2031191.7263781778 5409195.850859159, 2031391.7263781778 5409195.850859159, 2031391.7263781778 5408995.850859159, 2031191.7263781778 5408995.850859159))",40000.0,81.8264812333453,16945.480432893037,0.00576857689814249,3.032205452659709e-05,1.1389658597898772e-05,4.575722452409545e-05,16.945480432893035,207.0904208207299
20,20,20,12701,TRNOVO,Šabići,"POLYGON ((2031391.7263781778 5408995.850859159, 2031391.7263781778 5409195.850859159, 2031591.7263781778 5409195.850859159, 2031591.7263781778 5408995.850859159, 2031391.7263781778 5408995.850859159))",40000.0,200.64832503534987,43025.358094678726,0.01278128890263104,6.91174810306258e-05,2.5491869694806538e-05,0.00010090008106682517,43.02535809467873,214.4316833300183
21,21,21,12703,TRNOVO,Šabići,"POLYGON ((2031791.7263781778 5408995.850859159, 2031791.7263781778 5409195.850859159, 2031991.7263781778 5409195.850859159, 2031991.7263781778 5408995.850859159, 2031791.7263781778 5408995.850859159))",40000.0,18.989389206434605,4087.784071792842,0.0002828916312659407,9.572973592382677e-06,1.6294444804265675e-06,2.240484746128374e-07,4.087784071792842,215.26674856965306
22,22,22,13050,TRNOVO,Šabići,"POLYGON ((2031391.7263781778 5409195.850859159, 2031391.7263781778 5409395.850859159, 2031591.7263781778 5409395.850859159, 2031591.7263781778 5409195.850859159, 2031391.7263781778 5409195.850859159))",40000.0,62.39307304018085,13825.610065202305,0.00445024494702499,2.5261401971559938e-05,9.034237153924367e-06,3.483312372231643e-05,13.825610065202305,221.58886221710344
23,23,23,13053,TRNOVO,Šabići,"POLYGON ((2031991.7263781778 5409195.850859159, 2031991.7263781778 5409395.850859159, 2032191.7263781778 5409395.850859159, 2032191.7263781778 5409195.850859159, 2031991.7263781778 5409195.850859159))",40000.0,67.56840682062574,15184.812692148955,0.004355096760202615,2.8829867369381917e-05,9.385213302248056e-06,3.306204969868911e-05,15.184812692148954,224.73243645451296
24,24,24,13054,TRNOVO,Šabići,"POLYGON ((2032191.7263781778 5409195.850859159, 2032191.7263781778 5409395.850859159, 2032391.7263781778 5409395.850859159, 2032391.7263781778 5409195.850859159, 2032191.7263781778 5409195.850859159))",40000.0,38.56564314246211,7898.241176161355,0.0,0.0,0.0,0.0,7.8982411761613545,204.7999341534413
25,25,25,13388,TRNOVO,Šabići,"POLYGON ((2029191.7263781778 5409395.850859159, 2029191.7263781778 5409595.850859159, 2029391.7263781778 5409595.850859159, 2029391.7263781778 5409395.850859159, 2029191.7263781778 5409395.850859159))",40000.0,65.17053333713868,10696.303410279494,0.0007402286097079236,2.5049128888505415e-05,4.263687182773251e-06,5.862566175170172e-07,10.696303410279494,164.12790969418077
26,26,26,13390,TRNOVO,Šabići,"POLYGON ((2029591.7263781778 5409395.850859159, 2029591.7263781778 5409595.850859159, 2029791.7263781778 5409595.850859159, 2029791.7263781778 5409395.850859159, 2029591.7263781778 5409395.850859159))",40000.0,386.75134063860037,79617.81073942358,0.01160015230267731,0.00012538756267634337,3.143437086109128e-05,7.592385899375338e-05,79.61781073942359,205.86305042397362
27,27,27,13391,TRNOVO,Šabići,"POLYGON ((2029791.7263781778 5409395.850859159, 2029791.7263781778 5409595.850859159, 2029991.7263781778 5409595.850859159, 2029991.7263781778 5409395.850859159, 2029791.7263781778 5409395.850859159))",40000.0,76.45090166915072,12043.238274492394,0.0,0.0,0.0,0.0,12.043238274492394,157.52905474693767
28,28,28,13402,TRNOVO,Šabići,"POLYGON ((2031991.7263781778 5409395.850859159, 2031991.7263781778 5409595.850859159, 2032191.7263781778 5409595.850859159, 2032191.7263781778 5409395.850859159, 2031991.7263781778 5409395.850859159))",40000.0,376.80139061437535,52105.26387365372,0.013985674513147745,0.00010087929794539475,3.123789727006291e-05,0.00010410072740145031,52.10526387365372,138.28309866026765
29,29,29,13403,TRNOVO,Šabići,"POLYGON ((2032191.7263781778 5409395.850859159, 2032191.7263781778 5409595.850859159, 2032391.7263781778 5409595.850859159, 2032391.7263781778 5409395.850859159, 2032191.7263781778 5409395.850859159))",40000.0,90.00314219367365,19632.352870443443,0.0059240797109838955,3.6676309854666406e-05,1.2429982472462818e-05,4.5607577459818236e-05,19.63235287044344,218.1296384985924
